% NextBus#  Stop#   StopLocation
% Bus 104 College Park Metro
% Bus 105 Campus Connector
% Bus 108 Adelphi
% Bus 109 River Road
% Bus 111 Silver Spring
% Bus 113 Hyattsville
% Bus 114 University View
% Bus 115 Orange
% Bus 116 Purple
% Bus 117 Blue
% Bus 118 Gold
% Bus 122 Green
% Bus 123 Discovery District
% Bus 126 New Carrollton
% Bus 127 Mazza Grandmarc
% Bus 128 The Enclave
% Bus 131 MGM/Enclave
% Bus 132 The Varsity
% Bus 133 Grocery Shopping Shuttle
% Bus 140 Carey School of Law
% Bus 141 Gaithersburg Park & Ride
% Bus 142 Columbia Park & Ride
% Bus 143 Greenbelt


10003   104#0 	Regents Drive Garage
36112   104#1 	Campus Drive at Math Slip
30561 	104#2 	Campus Drive and Diamondback Drive
34991 	104#3 	Campus Drive and Rhode Island Avenue
36469 	104#4 	College Park - UMD Metro Station
30528 	104#5 	Campus Drive and 50th Avenue
30585 	104#6 	Campus Drive and Rhode Island Avenue
30500 	104#7 	Glenn L. Martin Wind Tunnel
10003 	104#8 	Regents Drive Garage
10001 	105#0 	Stamp Student Union - Slip
27719 	105#1 	Art/Sociology Building
30089 	105#2 	Wicomico Hall
50002 	105#3 	Preinkert Drive at Lot MV
50003 	105#4 	Guilford Drive and Rowalt Drive
37019 	105#5 	Baltimore Avenue and Hartwick Rd.
30473 	105#6 	Montgomery Hall
30027 	105#7 	Memorial Chapel
30494 	105#8 	Mitchell Building
30397 	105#9 	Regents Drive and Stadium Drive
30425 	105#10 	Regents Drive and Farm Drive
30321 	105#11 	Regents Drive at XFINITY Center
30309 	105#12 	Regents Drive and Paint Branch Drive
37150 	105#13 	Shuttle-UM Base
36290 	105#14 	Paint Branch Drive at Lot 4b
30299 	105#15 	Metzerott Road and Greenmead Drive
37185 	105#16 	Greenmead Drive at Maryland 4-H
27735 	105#17 	Courtyards #500
27676 	105#18 	Greenmead Drive at Maryland 4-H
27624 	105#19 	Greenmead Drive and Metzerott Road
27522 	105#20 	Paint Branch Drive at Lot 4b
37151 	105#21 	Shuttle-UM Base
30949 	105#22 	Regents Drive and Paint Branch Drive
30332 	105#23 	Regents Drive at XFINITY Center
30313 	105#24 	Regents Drive and Farm Drive
